dataset,model,method,accuracy,log_loss,brier_score,ece,tilt,seed
diabetes,LogisticRegression,Platt,0.7467532467532467,0.5227308204293968,0.17415284333561082,0.06603232084552754,-0.10165754184550993,44
diabetes,LogisticRegression,Isotonic,0.7207792207792207,0.7336521997727574,0.17830251727947996,0.09702985172431454,-0.1801038032304586,44
diabetes,RandomForest,Uncalibrated,0.7467532467532467,0.5011600194002581,0.16903658008658012,0.09560606060606061,-0.05827160493827162,44
diabetes,RandomForest,Platt,0.7402597402597403,0.511296368980146,0.17013467808085267,0.09444097805786554,-0.055149806845982405,44
diabetes,RandomForest,Isotonic,0.7207792207792207,0.9278925934391403,0.17972127877955846,0.08696852346601774,-0.09418731035419423,44
breast_cancer,LogisticRegression,Uncalibrated,0.9736842105263158,0.07760869793410538,0.021231798316115654,0.03415940495238704,0.04601829824293364,45
breast_cancer,LogisticRegression,Platt,0.9824561403508771,0.08521266275660437,0.01828760194198104,0.041259516788431094,0.060933610689320634,45
breast_cancer,LogisticRegression,Isotonic,0.9473684210526315,0.36642978629782424,0.029567462007431208,0.04879389286985088,0.02598805980844366,45
breast_cancer,RandomForest,Uncalibrated,0.9035087719298246,0.15749519220887406,0.05096179337231969,0.054093567251461985,-0.027235930735930725,45
breast_cancer,RandomForest,Platt,0.9122807017543859,0.18254596015181074,0.058228057007390414,0.07031699178683246,-0.04167534397571429,45
breast_cancer,RandomForest,Isotonic,0.9035087719298246,0.46249011045316923,0.06524013604845161,0.060374426261551525,-0.10468410922955082,45
diabetes,LogisticRegression,Uncalibrated,0.6883116883116883,0.5398645397300336,0.1837017741719506,0.10574255501447266,-0.22911156824376505,45
diabetes,LogisticRegression,Platt,0.7012987012987013,0.5543309063297214,0.18862275341191437,0.11105540115841186,-0.2158670094732273,45
diabetes,LogisticRegression,Isotonic,0.7402597402597403,0.9679391136430308,0.18950116731108707,0.0991004170327751,-0.1194282810727718,45
diabetes,RandomForest,Uncalibrated,0.7662337662337663,0.5041011685650296,0.16920642135642133,0.07681818181818179,0.04615935672514615,45
diabetes,RandomForest,Platt,0.7402597402597403,0.5130163961394887,0.17219559597610143,0.07254190733768863,-0.04220470053735463,45
diabetes,RandomForest,Isotonic,0.7337662337662337,0.9018916826201584,0.16990106877264763,0.07623592899287374,-0.09554497791686507,45
breast_cancer,LogisticRegression,Uncalibrated,0.9649122807017544,0.10696994393541552,0.031111312134547504,0.029312578329510976,0.029298520051247803,46
breast_cancer,LogisticRegression,Platt,0.9649122807017544,0.11345820022699893,0.02866523102641913,0.016204930916644166,0.025209782042846393,46
breast_cancer,LogisticRegression,Isotonic,0.956140350877193,0.6933966081434034,0.04097293618504276,0.038797930697907,-0.058114469519593676,46
breast_cancer,RandomForest,Uncalibrated,0.9649122807017544,0.12702216002509842,0.03336081871345029,0.05040935672514618,0.08620155038759686,46
breast_cancer,RandomForest,Platt,0.9649122807017544,0.10326662774383662,0.024473219849681656,0.03106575084480342,0.021613834247187963,46
breast_cancer,RandomForest,Isotonic,0.9649122807017544,0.35962631442443405,0.027589427636137857,0.033548572427747135,-0.0537911701064768,46
diabetes,LogisticRegression,Uncalibrated,0.7662337662337663,0.4994989307911882,0.16329055934852624,0.08907822254645228,-0.10046300089810219,46
diabetes,LogisticRegression,Platt,0.7597402597402597,0.4928203628416379,0.16292522955896083,0.07071593479244559,-0.11028541187020421,46
diabetes,LogisticRegression,Isotonic,0.7597402597402597,1.1043916574187196,0.16694395060657116,0.11063541094822012,-0.17341530375768632,46
diabetes,RandomForest,Uncalibrated,0.7662337662337663,0.4664680493760661,0.15501782106782105,0.06209956709956709,0.011734693877551007,46
diabetes,RandomForest,Platt,0.7727272727272727,0.47239146796876,0.15729214199204117,0.11429319137632331,-0.023481544836800976,46
diabetes,RandomForest,Isotonic,0.7727272727272727,0.6754552824215392,0.15884671861817926,0.08802275742771876,-0.14674374530226725,46
